GSA;COUNTRY;STRATUM;CODE;SURF;MIN_DEPTH;MAX_DEPTH
1;ESP;11101a;1;510;10;50
1;ESP;11102a;2;1951;50;100
1;ESP;11103a;3;1086;100;200
1;ESP;11104a;4;3461;200;500
1;ESP;11105a;5;4912;500;800
2;ESP;11106b;1;0;10;50
2;ESP;11107b;2;130;50;100
2;ESP;11108b;3;132;100;200
2;ESP;11109b;4;221;200;500
2;ESP;11110a;5;350;500;800
3;MOR;11401a;1;355;10;50
3;MOR;11402a;2;444;50;100
3;MOR;11403a;3;487;100;200
3;MOR;11404a;4;3580;200;500
3;MOR;11405a;5;1108;500;800
3;MOR;11406b;1;878;10;50
3;MOR;11407b;2;1098;50;100
3;MOR;11408b;3;938;100;200
3;MOR;11409b;4;3507;200;500
3;MOR;11410b;5;1446;500;800
5;ESP;11501a;1;0;10;50
5;ESP;11502a;2;1170;50;100
5;ESP;11503a;3;1773;100;200
5;ESP;11504a;4;1123;200;500
5;ESP;11505a;5;2030;500;800
5;ESP;11507b;2;2255;50;100
5;ESP;11508b;3;1472;100;200
5;ESP;11509b;4;1518;200;500
5;ESP;11510b;5;1315;500;800
6;ESP;11201a;1;1130;10;50
6;ESP;11202a;2;4095;50;100
6;ESP;11203a;3;3302;100;200
6;ESP;11204a;4;4242;200;500
6;ESP;11205a;5;3159;500;800
6;ESP;11301a;1;1896;10;50
6;ESP;11302a;2;7219;50;100
6;ESP;11303a;3;3587;100;200
6;ESP;11304a;4;2477;200;500
6;ESP;11305a;5;1399;500;800
7;FRA;12101a;1;1482;10;50
7;FRA;12102a;2;3911;50;100
7;FRA;12103a;3;819;100;200
7;FRA;12104a;4;709;200;500
7;FRA;12105a;5;660;500;800
7;FRA;12106b;1;696;10;50
7;FRA;12107b;2;2610;50;100
7;FRA;12108b;3;1734;100;200
7;FRA;12109b;4;653;200;500
7;FRA;12110b;5;586;500;800
8;FRA;13101a;1;0;10;50
8;FRA;13102a;2;521;50;100
8;FRA;13103a;3;234;100;200
8;FRA;13104a;4;920;200;500
8;FRA;13105a;5;867;500;800
8;FRA;13106b;1;0;10;50
8;FRA;13107b;2;524;50;100
8;FRA;13108b;3;153;100;200
8;FRA;13109b;4;383;200;500
8;FRA;13110b;5;960;500;800
9;ITA;13201a;1;657;10;50
9;ITA;13202a;2;729;50;100
9;ITA;13203a;3;658;100;200
9;ITA;13204a;4;1737;200;500
9;ITA;13205a;5;2093;500;800
9;ITA;13206b;1;2053;10;50
